author,description,genre,rating,title,total_rating
Adam Kay,"<span class=""Formatted"">An alternative cover edition for this ISBN can be found <a href=""https://www.goodreads.com/book/show/45181834-twas-the-nightshift-before-christmas"">here</a>.<br><br><i>Twas The Nightshift Before Christmas</i> is the hilarious, poignant and entertaining story of the life of a junior doctor at the most challenging time of the year. With twenty-five tales of intriguing, shocking and incredible Christmas incidents, the British public will finally appreciate the sacrifices made and the challenges faced by the unsung heroes of the NHS.<br><br><i>Twas The Nightshift Before Christmas</i> will be fully illustrated (as tastefully as possible) and will delight all of Adam’s fans throughout the festive period of Christmas 2019 and for many years to come.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/non-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Nonfiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/memoir"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Memoir</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/medical"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Medical</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/christmas"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Christmas</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/audiobook"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Audiobook</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/medicine"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Medicine</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/humor"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Humor</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.14</div>",Twas the Nightshift Before Christmas,"<span data-testid=""ratingsCount"" aria-hidden=""true"">52,776<!-- --> <!-- -->ratings</span>"
Suzanne Collins,"<span class=""Formatted""><b>Could you survive on your own in the wild, with every one out to make sure you don't live to see the morning?</b><br><br>In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.<br><br>Sixteen-year-old Katniss Everdeen, who lives alone with her mother and younger sister, regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/young-adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Young Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/dystopia"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Dystopia</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/romance"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Romance</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adventure"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adventure</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.32</div>",The Hunger Games,"<span data-testid=""ratingsCount"" aria-hidden=""true"">7,664,497<!-- --> <!-- -->ratings</span>"
George Orwell,"<span class=""Formatted"">The new novel by George Orwell is the major work towards which all his previous writing has pointed. Critics have hailed it as his ""most solid, most brilliant"" work. Though the story of Nineteen Eighty-Four takes place thirty-five years hence, it is in every sense timely. The scene is London, where there has been no new housing since 1950 and where the city-wide slums are called Victory Mansions. Science has abandoned Man for the State. As every citizen knows only too well, war is peace.<br><br>To Winston Smith, a young man who works in the Ministry of Truth (Minitru for short), come two people who transform this life completely. One is Julia, whom he meets after she hands him a slip reading, ""I love you."" The other is O'Brien, who tells him, ""We shall meet in the place where there is no darkness."" The way in which Winston is betrayed by the one and, against his own desires and instincts, ultimately betrays the other, makes a story of mounting drama and suspense.<br><br>Alternate cover edition can be found <a href=""https://www.goodreads.com/book/show/36526988-nineteen-eighty-four"">here</a>.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/classics"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Classics</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/dystopia"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Dystopia</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/literature"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Literature</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/novels"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Novels</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/politics"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Politics</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.19</div>",1984,"<span data-testid=""ratingsCount"" aria-hidden=""true"">4,008,400<!-- --> <!-- -->ratings</span>"
Ray Bradbury,"<span class=""Formatted""><b>Sixty years after its original publication, Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before.</b><br><br>Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/classics"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Classics</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/dystopia"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Dystopia</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/school"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">School</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/literature"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Literature</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/novels"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Novels</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">3.98</div>",Fahrenheit 451,"<span data-testid=""ratingsCount"" aria-hidden=""true"">2,116,338<!-- --> <!-- -->ratings</span>"
Ernest Cline,"<span class=""Formatted""><i>Librarian's note: An alternate cover edition can be found <a href=""https://www.goodreads.com/book/show/54733514.here"" title=""here"">here</a></i><br><br><b>IN THE YEAR 2044, reality is an ugly place.</b> The only time teenage Wade Watts really feels alive is when he's jacked into the virtual utopia known as the OASIS. Wade's devoted his life to studying the puzzles hidden within this world's digital confines, puzzles that are based on their creator's obsession with the pop culture of decades past and that promise massive power and fortune to whoever can unlock them. <br><br>But when Wade stumbles upon the first clue, he finds himself beset by players willing to kill to take this ultimate prize. The race is on, and if Wade's going to survive, he'll have to win—and confront the real world he's always been so desperate to escape.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/young-adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Young Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/dystopia"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Dystopia</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/audiobook"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Audiobook</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adventure"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adventure</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.24</div>",Ready Player One,"<span data-testid=""ratingsCount"" aria-hidden=""true"">1,051,356<!-- --> <!-- -->ratings</span>"
Andy Weir,"<span class=""Formatted"">Six days ago, astronaut Mark Watney became one of the first people to walk on Mars. <br><br>Now, he’s sure he’ll be the first person to die there.<br><br>After a dust storm nearly kills him and forces his crew to evacuate while thinking him dead, Mark finds himself stranded and completely alone with no way to even signal Earth that he’s alive—and even if he could get word out, his supplies would be gone long before a rescue could arrive. <br><br>Chances are, though, he won’t have time to starve to death. The damaged machinery, unforgiving environment, or plain-old “human error” are much more likely to kill him first. <br><br>But Mark isn’t ready to give up yet. Drawing on his ingenuity, his engineering skills — and a relentless, dogged refusal to quit — he steadfastly confronts one seemingly insurmountable obstacle after the next. Will his resourcefulness be enough to overcome the impossible odds against him?<br><br></span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/audiobook"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Audiobook</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adventure"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adventure</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/space"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Space</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction Fantasy</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.41</div>",The Martian,"<span data-testid=""ratingsCount"" aria-hidden=""true"">998,356<!-- --> <!-- -->ratings</span>"
Douglas Adams,"<span class=""Formatted"">Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of the The Hitch Hiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out of work actor. <br><br>Together this dynamic pair begin their journey through space aided by quotes from The Hitch Hiker's Guide ""A towel is about the most massively useful thing an interstellar hitchhiker can have"" and a galaxy-full of fellow travellers: Zaphod Beeblebrox - the two-headed, three-armed ex-hippie and totally out to lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ball-point pens he has bought over the years.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/humor"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Humor</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/classics"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Classics</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/comedy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Comedy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction Fantasy</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.23</div>",The Hitchhiker's Guide to the Galaxy,"<span data-testid=""ratingsCount"" aria-hidden=""true"">1,690,297<!-- --> <!-- -->ratings</span>"
Orson Scott Card,"<span class=""Formatted"">Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.<br><br>But Ender is not the only result of the experiment. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway almost as long. Ender's two older siblings, Peter and Valentine, are every bit as unusual as he is, but in very different ways. While Peter was too uncontrollably violent, Valentine very nearly lacks the capability for violence altogether. Neither was found suitable for the military's purpose. But they are driven by their jealousy of Ender, and by their inbred drive for power. Peter seeks to control the political process, to become a ruler. Valentine's abilities turn more toward the subtle control of the beliefs of commoner and elite alike, through powerfully convincing essays. Hiding their youth and identities behind the anonymity of the computer networks, these two begin working together to shape the destiny of Earth-an Earth that has no future at all if their brother Ender fails.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/young-adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Young Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/classics"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Classics</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/dystopia"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Dystopia</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/war"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">War</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.31</div>",Ender's Game,"<span data-testid=""ratingsCount"" aria-hidden=""true"">1,279,726<!-- --> <!-- -->ratings</span>"
Frank Herbert,"<span class=""Formatted"">Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...<br><br>When House Atreides is betrayed, the destruction of Paul’s family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad’Dib, he will bring to fruition humankind’s most ancient and unattainable dream.<br><br>***<br><br>Original, first edition from 1965 can be found <a href=""https://www.goodreads.com/book/show/1022863.Dune"">here</a>.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/classics"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Classics</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/audiobook"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Audiobook</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/space-opera"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Space Opera</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.25</div>",Dune,"<span data-testid=""ratingsCount"" aria-hidden=""true"">1,142,456<!-- --> <!-- -->ratings</span>"
Toshikazu Kawaguchi,"<span class=""Formatted""><b>The latest novel in the international bestselling <i>Before the Coffee Gets Cold Series</i>, following four new customers in a little Tokyo café where customers can travel back in time.</b><br><br>In a small back alley in Tokyo, there is a café that has been serving carefully brewed coffee for more than one hundred years. But this coffee shop offers its customers a unique experience: the chance to travel back in time.<br><br>From the author of <i>Before the Coffee Gets Cold</i> and <i>Tales from the Cafe</i> comes another story of four new customers, each of whom is hoping to take advantage of Café Funiculi Funicula's time-travelling offer. Among some familiar faces from Kawaguchi's previous novels, readers will also be introduced to a daughter, a comedian, a sister, and a lover, each with something they wish they had said differently.<br><br>With his signature heartwarming characters and immersive storytelling, Kawaguchi once again invites the reader to ask themselves: what would you change if you could travel back in time?</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/magical-realism"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Magical Realism</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/japan"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Japan</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/contemporary"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Contemporary</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/japanese-literature"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Japanese Literature</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/time-travel"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Time Travel</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">3.91</div>",Before Your Memory Fades,"<span data-testid=""ratingsCount"" aria-hidden=""true"">3,609<!-- --> <!-- -->ratings</span>"
J.N. Chaney,"<span class=""Formatted"">Cole Riker is a Slip Runner.<br><br>A contractor tasked with finding alien salvage in exchange for credits. For an ex-smuggler like Cole, there’s a catch: don’t break the terms of parole. That means doing things by the book.<br><br>Find salvage, turn it in, get paid.<br><br>But everything changes when a retrieval mission lands him in a previously unknown sector. There, he finds the material he’s been sent to recover, along with something more...<br><br>A brand new form of ancient alien life.<br><br>Such a thing could change the entire Alliance, the Galaxy, and everything between, but most of all, it could change Cole's life for the better.<br><br>A shift in humanity’s future is at hand and Cole is the one holding the key. He just has to survive long enough to use it.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">4.53</div>",Slip Runner,"<span data-testid=""ratingsCount"" aria-hidden=""true"">381<!-- --> <!-- -->ratings</span>"
Andy Weir,"<span class=""Formatted"">Jazz Bashara is a criminal.<br> <br>Well, sort of. Life on Artemis, the first and only city on the moon, is tough if you're not a rich tourist or an eccentric billionaire. So smuggling in the occasional harmless bit of contraband barely counts, right? Not when you've got debts to pay and your job as a porter barely covers the rent.<br> <br>Everything changes when Jazz sees the chance to commit the perfect crime, with a reward too lucrative to turn down. But pulling off the impossible is just the start of her problems, as she learns that she's stepped square into a conspiracy for control of Artemis itself—and that now, her only chance at survival lies in a gambit even riskier than the first.</span>","<span tabindex=""-1""><span class=""BookPageMetadataSection__genrePlainText""><span class=""Text Text__body3 Text__subdued"">Genres</span></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fiction"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fiction</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/audiobook"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Audiobook</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/space"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Space</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/science-fiction-fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Science Fiction Fantasy</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/adult"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Adult</span></a></span><span class=""BookPageMetadataSection__genreButton""><a href=""https://www.goodreads.com/genres/fantasy"" class=""Button Button--tag-inline Button--small""><span class=""Button__labelItem"">Fantasy</span></a></span></span>","<div class=""RatingStatistics__rating"" aria-hidden=""true"">3.69</div>",Artemis,"<span data-testid=""ratingsCount"" aria-hidden=""true"">229,926<!-- --> <!-- -->ratings</span>"
